_id,state_id,division_id,parliament_id,assembly_id,party_id,year_id,candidate_id,total_electors,total_votes,margin,margin_percentage,created_by,assembly_no,poll_percentage,type
68bac639ff370da694e26370,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db44,68876e3f6382aed3fb20658e,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,68931c8328b5a7a167270301,232637,191894,2675,0.014,684ab4dce856ee7729dde255,26,0.825,GEN
68bac639ff370da694e26371,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db44,68876e3f6382aed3fb20658e,68316363fb08f1710d17d2d5,6877446edff1e9c4616e78d9,6895b201e35251fb74323c23,220263,173038,7113,0.041,684ab4dce856ee7729dde255,26,0.786,GEN
68bac639ff370da694e26374,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db44,68876e3f6382aed3fb20658f,6823469b436f44ab6db3154e,68774476dff1e9c4616e78dc,68931c8328b5a7a1672702da,237069,170371,720,0.004,684ab4dce856ee7729dde255,27,0.719,GEN
68bac639ff370da694e26375,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db44,68876e3f6382aed3fb20658f,68316363fb08f1710d17d2d5,6877446edff1e9c4616e78d9,6895a419e35251fb74323a16,221157,159179,24953,0.157,684ab4dce856ee7729dde255,27,0.72,GEN
68bac639ff370da694e26378,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db44,68876e3f6382aed3fb206590,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,68931c8328b5a7a167270312,190923,154363,27920,0.181,684ab4dce856ee7729dde255,28,0.809,GEN
68bac639ff370da694e26379,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db44,68876e3f6382aed3fb206590,68316363fb08f1710d17d2d5,6877446edff1e9c4616e78d9,6895b201e35251fb74323c24,182994,138777,18561,0.134,684ab4dce856ee7729dde255,28,0.758,GEN
68bac639ff370da694e2637c,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db44,68876e3f6382aed3fb206591,6823469b436f44ab6db3154e,68774476dff1e9c4616e78dc,68931c8328b5a7a1672702f2,207863,145741,33667,0.231,684ab4dce856ee7729dde255,29,0.701,SC
68bac639ff370da694e2637d,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db44,68876e3f6382aed3fb206591,6823469b436f44ab6db3154e,6877446edff1e9c4616e78d9,6895b201e35251fb74323c25,194321,129281,45111,0.349,684ab4dce856ee7729dde255,29,0.665,SC
68bac639ff370da694e26380,6825c30edbda2b3debc751ff,685fd2e5267d3d01c364e63f,68887d5a2c5282412771db54,68876e3f6382aed3fb206592,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,68931c8328b5a7a167270310,203976,161933,9797,0.061,684ab4dce856ee7729dde255,30,0.794,GEN
68bac639ff370da694e26381,6825c30edbda2b3debc751ff,685fd2e5267d3d01c364e63f,68887d5a2c5282412771db54,68876e3f6382aed3fb206592,6823469b436f44ab6db3154e,6877446edff1e9c4616e78d9,6895b201e35251fb74323c26,196475,142213,34901,0.245,684ab4dce856ee7729dde255,30,0.724,GEN
68bac639ff370da694e26382,6825c30edbda2b3debc751ff,685fd2e5267d3d01c364e63f,68887d5a2c5282412771db54,68876e3f6382aed3fb206593,68316363fb08f1710d17d2d5,6877446edff1e9c4616e78d9,688777c776bc0350acbf568b,195398,145916,58204,0.399,684ab4dce856ee7729dde255,31,0.747,GEN
68bac639ff370da694e26383,6825c30edbda2b3debc751ff,685fd2e5267d3d01c364e63f,68887d5a2c5282412771db54,68876e3f6382aed3fb206593,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,688777c776bc0350acbf568b,202992,156745,46697,0.298,684ab4dce856ee7729dde255,31,0.772,GEN
68bac639ff370da694e26388,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db44,68876e3f6382aed3fb206594,6823469b436f44ab6db3154e,6877446edff1e9c4616e78d9,68931c8328b5a7a1672702f2,178635,125939,3348,0.027,684ab4dce856ee7729dde255,32,0.705,SC
68bac639ff370da694e26389,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db44,68876e3f6382aed3fb206594,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,68931c8328b5a7a1672702fb,185218,136463,9730,0.071,684ab4dce856ee7729dde255,32,0.737,SC
68bac639ff370da694e2638c,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db44,68876e3f6382aed3fb206595,68316363fb08f1710d17d2d5,6877446edff1e9c4616e78d9,6895b201e35251fb74323c27,168670,124121,30318,0.244,684ab4dce856ee7729dde255,33,0.736,GEN
68bac639ff370da694e2638d,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db44,68876e3f6382aed3fb206595,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,68baacdc39ec0f7cddda0403,173898,130495,4175,0.032,684ab4dce856ee7729dde255,33,0.75,GEN
68bac639ff370da694e2638e,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db44,68876e3f6382aed3fb206596,6823469b436f44ab6db3154e,68774476dff1e9c4616e78dc,688777c776bc0350acbf568e,186461,137666,2136,0.016,684ab4dce856ee7729dde255,34,0.738,GEN
68bac639ff370da694e26391,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db44,68876e3f6382aed3fb206596,68316363fb08f1710d17d2d5,6877446edff1e9c4616e78d9,6895a419e35251fb74323a2c,180085,137932,20765,0.151,684ab4dce856ee7729dde255,34,0.766,GEN
68bac639ff370da694e26394,6825c30edbda2b3debc751ff,685fd2fe267d3d01c364e64f,68887d5a2c5282412771db45,68876e3f6382aed3fb206597,6823469b436f44ab6db3154e,6877446edff1e9c4616e78d9,68931c8328b5a7a167270313,168051,117932,18769,0.159,684ab4dce856ee7729dde255,35,0.702,SC
68bac639ff370da694e26395,6825c30edbda2b3debc751ff,685fd2fe267d3d01c364e64f,68887d5a2c5282412771db45,68876e3f6382aed3fb206597,6823469b436f44ab6db3154e,68774476dff1e9c4616e78dc,68931c8328b5a7a167270313,176472,124829,632,0.005,684ab4dce856ee7729dde255,35,0.707,SC
